X,Y
50.15,101.32
-308.295,-32.364
-3.8148,106.55184
-188.6456,-14.08352
211.1655,25.6014
-96.0619,-198.65048
319.005,-68.306
53.975,183.23
-290.36,-63.712
197.2,88.86
-324.9414,-81.04688
108.9207,101.29516
164.73,-53.176
-337.28,-157.676
277.695,-22.734
-243.3431,-155.32552
-345.44,126.352
359.89,-170.868
-446.25,59.5
212.67,-84.204
-368.9,-56.38
-399.84,-85.128
25.5,113.9
-61.5808,38.76464
221.221,-166.4652
54.825,150.21
-268.0254,-75.57968
130.8405,-14.0086
109.65,55.42
196.9977,-55.89724
232.56,-212.572
235.4636,-110.05632
3.6125,-70.835
131.2043,31.55484
117.4173,-55.40076
-299.1252,-163.19984
-302.532,-187.9744
257.1522,-140.58264
-270.7845,6.6276
289.8959,41.62492
198.9,-18.18
-274.329,0.9632
291.7149,-60.05788
-340,88
301.665,-291.998
-6.2271,288.48168
103.4586,-217.65032
-316.625,-43.7
303.1729,-151.30748
-250.155,32.124
327.845,-299.914
236.8644,166.76272
-342.9937,-51.10504
327.743,-204.2916
-362.8548,-19.71616
377.8845,-223.9614
75.4919,-66.59028
-300.4155,119.3324
246.1991,-145.43892
210.4192,-11.00304
-197.4856,-10.01152
291.295,-103.054
-342.72,-220.324
340.17,-120.704
-341.3991,102.11928
262.395,202.626
166.668,-64.0016
305.235,-179.282
-246.4643,102.67144
325.89,-317.568
133.5265,77.2682
-352.665,-1.368
224.825,-79.79
142.545,-144.054
-309.0787,127.26296
306.4845,-263.7814
-294.593,64.6744
279.3015,-190.6618
105.1076,-15.62912
48.45,252.36
173.043,-81.1516
237.2962,-22.25544
179.775,-205.23
-149.9247,47.93976
153.5814,-114.29768
274.4922,40.60936
149.94,-75.928
279.7299,-125.67588
-279.5429,-227.86568
128.18,110.184
-261.97,29.076
187.1632,185.40416
-365.5595,-78.0524
266.8473,-175.71676
-314.6258,108.70064
235.79,-232.948
246.279,-20.0348
73.44,38.372
-373.1228,-90.00176
281.945,-125.834
-193.0809,-18.03528
250.6905,87.6714
-306,-226.7
220.915,-49.098
167.79,63.152
-322.7008,-101.83936
247.86,-65.432
-324.9958,-125.00336
331.5,-117.3
73.0269,130.86772
253.9188,-200.20256
-239.19,-39.648
332.01,-8.412
272.085,-155.502
-319.77,66.816
224.6533,-16.58396
-214.2442,-160.10464
284.75,-93.7
-375.2784,90.22272
237.6209,64.85492
-133.3327,-256.33384
160.8948,-202.57376
169.83,-76.296
-246.8655,-99.5076
274.125,-32.95
74.4345,163.6786
-311.8208,-240.54336
242.42,-78.404
-246.7074,-49.13408
251.94,148.672
-294.9687,-278.52504
181.9459,24.66492
-134.64,-148.788
170.4522,204.95736
-337.8359,-223.23128
235.3174,-32.38088
-274.329,-206.0368
285.2566,-45.30792
-306.7293,-18.61656
95.0606,85.42728
187.6375,-29.665
-233.5647,6.35176
285.5762,-130.19144
344.1582,-277.98984
232.2829,-161.73948
-320.6982,88.55856
270.4564,-83.04768
-280.9964,-205.70288
362.95,14.96
-289.85,-65.12
317.5821,-223.59852
135.915,-5.598
-237.405,108.924
223.125,-14.75
40.579,-21.6948
139.23,-155.576
217.005,4.094
149.532,196.5616
-345.185,-86.852
122.7213,242.73444
-205.275,-350.28
199.92,73.596
-339.66,30.228
103.4586,11.84968
30.6,-92.72
247.3398,-160.30776
-182.1499,22.21992
415.14,-109.668
-361.335,-43.432
310.1616,121.30608
-255.7905,-246.3676
-280.007,-38.4944
299.7423,-187.19076
-3.9304,-22.35568
177.7792,-6.33504
250.665,-47.798
236.555,-220.866
-229.9845,-264.5124
161.33,131.904
202.7794,-144.33528
-326.7009,-43.13928
274.5891,-179.50692
160.65,50.22
73.0167,209.37996
-244.0401,-100.76792
263.2773,-145.93276
158.2547,85.59436
-381.6772,-188.15824
230.3653,-6.43836
-289.6494,-29.28048
285.94,-136.128
-350.7304,-6.91568
298.265,-214.918
137.7,139.26
121.4752,-18.27024
199.6463,-55.57556
30.855,295.474
179.6288,-43.05456
-246.84,-135.528
300.0126,-224.01512
-318.75,103
248.2,-72.84
185.0229,250.97252
-282.3632,-54.60944
297.5,-212.5
-378.2738,-237.88096
231.6726,-143.00712
101.15,154.12
-289.068,-137.7456
230.69,-6.828
-190.6924,181.05392
259.335,-132.702
-312.6164,-200.90688
86.2155,23.0414
12.529,-136.0348
189.1386,-122.96632
-195.415,-157.168
285.94,122.372
-293.76,-54.992
193.12,-88.744
-307.5742,-65.94064
232.2761,-66.23132
-386.24,-1.008
254.2452,-178.59424
149.175,-43.01
182.546,-29.0552
149.532,7.5616
174.5968,-48.01616
110.8485,-121.5182
291.72,-141.064
165.7313,-188.37756
-188.7459,-205.50328
152.9388,80.47344
-269.654,-96.2768
250.58,109.304
-366.6033,-16.71736
-364.65,-49.28
222.054,-101.4648
143.82,36.416
-257.6061,107.08488
145.52,-86.624
-190.4,-365.18
269.11,7.068
-97.92,-64.664
264.1086,39.56968
120.7017,130.15796
-290.7765,32.6212
223.0281,-30.13372
-211.0278,126.32224
197.2,-146.64
-265.88,-128.296
273.02,-71.124
49.8015,6.7382
275.655,-253.786
157.76,162.188
119.085,46.098
107.9568,-98.04816
222.53,16.464
-312.12,-6.804
206.193,-28.9316
257.7523,-164.80276
253.3986,14.92168
-272.85,-34.72
185.13,61.344
-311.4026,-201.37792
-222.53,-40.476
340.34,-303.908
151.2524,71.49712
-218.28,-224.876
195.9012,195.41856
-297.0954,-208.82368
220.2724,-160.82688
35.7,128.16
-366.265,29.512
-3.4102,83.72816
-215.8541,22.68328
271.4985,15.2018
-98.4436,-240.24512
238.68,65.084
58.225,286.63
-345.1,-130.92
226.1,54.18
-319.7836,-38.67312
127.2348,122.81824
193.63,-45.356
-375.36,-217.212
240.975,-73.17
-223.2321,-153.91432
-356.32,165.056
293.335,-18.502
-303.45,-124.74
209.61,-61.532
-281.945,-70.444
-277.44,-273.048
18.87,172.856
-50.0344,30.02752
291.6095,-268.9314
51.425,248.79
-307.9941,-0.10472
174.454,-85.8448
111.35,10.88
213.5676,-75.78112
198.645,-178.874
229.7669,-155.72028
3.4391,-70.62692
123.0766,41.30808
103.4586,-25.15032
-231.1422,-147.58624
-322.7008,-150.33936
352.954,-224.0448
-304.3102,64.94816
289.8959,41.62492
176.8,18.84
-336.6765,73.8412
227.579,2.4052
-315.52,45.416
253.3986,-241.07832
-7.6857,276.14856
83.7522,-221.50264
-235.875,-174.3
259.5509,-98.96108
-289.17,63.336
313.055,-276.666
325.108,-0.6296
-322.3625,-83.11
368.0806,-200.19672
-288.6345,-17.0924
388.3089,-155.47068
64.8856,-44.86272
-377.6652,208.63216
225.5101,-105.61212
221.9265,-24.8118
-225.9691,-18.72472
260.015,-80.018
-340,-93.5
293.335,-77.002
-383.0967,154.47736
201.705,275.454
208.335,-71.502
279.99,-191.488
-257.3698,133.89584
245.565,-238.678
173.0039,54.89532
-289.1853,-11.65176
258.06,-91.172
163.54,-172.248
-260.2768,73.22144
391.1326,-332.85912
-296.8591,56.98728
225.5101,-75.11212
110.5442,-22.15304
62.9,167.52
175.7052,-84.34624
237.2962,-72.25544
167.025,-188.93
-123.1089,21.98712
154.8003,-108.76036
320.2409,-32.78908
130.56,-52.672
228.1485,-53.2782
-219.2099,-190.13208
116.025,141.27
-232.645,-13.384
232.2829,90.26052
-300.0109,-110.99128
354.1338,-263.46056
-296.5735,126.7588
209.95,-204.44
259.7124,-36.15488
87.04,5.552
-330.2641,-87.28872
395.25,-261.8
-212.2416,42.29328
228.2148,40.64224
-235.875,-241.8
248.285,-81.942
135.66,78.708
-355.4751,-210.61992
300.645,-70.774
-277.0456,-145.86352
349.35,-105.72
79.254,111.8952
291.5364,-228.84368
-267.75,46.2
281.945,-6.834
263.0155,-97.1186
-389.895,80.916
257.3698,-101.84376
-219.5125,-253.39
293.25,4.6
-346.6113,88.28904
206.7846,49.35848
-171.9618,-175.93056
151.1436,-192.37232
195.84,-62.508
-251.5677,-68.74584
284.75,-45.7
87.1947,90.86636
-289.8959,-258.08328
215.05,-33.06
-184.11,-84.712
324.87,20.156
-315.1375,-139.89
170.8347,64.99836
-111.265,-180.988
188.8343,104.89884
-322.3625,-212.11
259.9028,-99.38336
-294.2802,-171.57584
282.5655,7.4214
-295.5348,-93.57216
70.3188,77.11744
154.6133,67.46404
-256.3515,43.5812
267.4763,-70.97156
286.7985,-179.1582
245.6517,-164.78204
-248.6573,20.42584
222.4722,-67.46664
-299.1252,-211.69984
410.55,116.84
-303.025,-54.58
411.9984,-366.89808
146.965,-48.858
-193.8,74.04
216.75,-64.6
46.8503,-32.22036
142.545,-159.554
240.465,-35.558
171.9618,263.64584
-355.725,-78.42
105.9389,223.87332
-240.465,-297.628
186.32,56.916
-325.89,19.212
118.2384,-5.88608
31.365,-118.138
247.3398,-173.30776
-222.2563,54.30504
417.945,-150.034
-322.7926,-109.26592
254.1602,118.00776
-328.8735,-167.4012
-299.3921,39.51368
247.3398,-176.80776
-3.179,-21.4568
197.2238,-18.16856
190.5054,-44.60648
271.745,-270.094
-164.9544,-258.03648
137.02,161.076
186.1126,-128.83512
-284.3046,-106.05632
278.7813,-162.03756
165.24,44.712
85.068,140.9184
-331.3572,-104.91424
185.9511,-44.64132
133.3327,101.00076
-366.2038,-177.03696
266.6433,-76.97196
-206.3256,-124.93952
293.335,-168.002
-275.9423,-41.74616
313.055,-226.166
142.8,60.64
121.4752,-18.27024
160.6177,2.75876
35.19,342.772
221.0816,-130.29792
-259.93,-162.056
273.1458,-166.27496
-314.5,99.6
188.7,36.06
169.0497,162.64036
-332.7852,-80.27184
276.25,-161.5
-298.3568,-278.31456
255.8772,-187.05264
113.9,182.32
-252.9345,-166.6524
275.655,-74.286
-187.4046,176.92368
330.48,-165.576
-360.5173,-101.08616
109.2063,-37.54756
13.5541,-126.26492
169.6243,-80.04916
-164.73,-198.216
350.03,-28.036
-321.3,-61.96
136,-59.2
-350.4329,-90.15368
222.9227,-30.00724
-326.4,-95.38
271.5801,-232.39612
121.55,-1.36
156.468,30.7384
169.4696,-24.86352
174.5968,-22.51616
126.2709,-143.52508
291.72,-179.064
158.2547,-179.40564
-158.61,-214.112
171.3481,124.38228
-223.4276,-230.75792
271.15,64.12
-269.3412,-32.52704
-298.35,-102.32
206.193,-89.9316
120.36,7.568
-205.7391,38.09128
180.88,-107.056
-231.2,-175.04
360.6074,-69.72888
-96.39,-65.888
236.8593,-36.23116
87.8577,94.57076
-273.5453,-56.16376
231.6726,-28.00712
-252.4058,151.92464
219.3,-168.66
-195.5,-107.1
192.61,52.368
48.3259,15.50892
209.185,-191.522
153.68,167.084
111.146,34.6248
116.6319,-109.95828
273.02,-30.624
-302.94,12.852
198.2625,-57.415
346.8816,-229.25792
273.5096,-81.71152
-313.65,-13.58
156.06,42.228
-239.3617,-259.01064
-239.36,-8.012
297.5,-258
138.2134,52.64392
-216.24,-273.508
237.6209,104.35492
-385.7028,-67.43776
239.2614,-201.61368
-141.775,121.3875
168.9,47.05
-195.8962,-32.5519
41.2487,-118.12435
101.665,-27.8325
-88.854,109.427
139.66,186.17
-140.5,170.75
154.62,160.19
46.5,30.75
181.6772,-5.8386
-70.8374,56.9187
-7.815,-68.0925
178.08,135.96
141.955,41.5225
69.4874,37.7563
169.92,-99.96
152.495,17.7525
225.425,169.7875
18.79,22.105
150.455,125.2725
169.92,320.04
-176.37,75.685
-130.7216,-151.6392
75.5207,-150.26035
-141.775,237.3875
143.2606,22.3697
-34.2687,-25.86565
-85.25,-20.875
46.7074,27.1463
32.56,-174.78
77.2394,-106.1197
-195.9251,-36.03745
-29.3183,41.65915
-86.6882,-69.1559
128.5845,183.20775
132.7852,332.1074
157.9962,-41.4981
166.2038,-45.6019
158.1067,126.44665
32.9,21.05
161.6155,-75.80775
85.5082,-35.7541
194.4,-23.2
87.5873,-177.79365
-191.7533,194.87665
-82.5827,-57.20865
108.125,17.9375
111.8973,31.55135
132.775,-102.3875
157.425,-193.7125
108.8526,315.0737
150.7304,40.6348
130.2641,-111.63205
160.1059,82.44705
141.3991,-12.19955
-113.2779,-126.36105
194.8318,-206.9159
81.3704,-55.6852
40.0094,-61.0047
82.9361,-45.96805
54.15,52.425
175.36,74.32
132.775,46.1125
162.2479,-59.12395
39.19,115.405
-6.9429,-0.52855
119.005,-106.0025
94.4485,-164.22425
107.53,-212.265
-32.8016,-8.5992
145.6117,-14.30585
93.25,-43.625
-53.035,-174.4825
106.7548,-135.8774
208.646,-186.323
130.8506,-14.9253
95.8527,-60.42635
-70.4277,-1.28615
-142.2,224.1
-8.3216,-66.8392
22.2563,88.87185
-12.575,-210.7125
-33.0107,-122.99465
-19.6028,-145.1986
171.3718,170.3141
-64.34,-43.33
87.6655,35.66725
87.5873,118.20635
-53.035,164.5175
69.79,-22.395
50.665,159.6675
165.5595,4.22025
159.1216,-75.0608
142.9937,-192.49685
19.64,-182.32
104.4904,70.7548
-106.16,-61.92
135.3063,188.34685
195.25,39.875
21.085,-85.5425
48.9616,120.5192
76.25,64.875
81.52,85.24
-33.4,-12.8
150.4329,149.78355
107.53,-3.265
159.6265,115.18675
172.3,150.85
-124.7087,147.85435
107.9941,-168.99705
48.115,55.4425
166.265,62.3675
44.8765,-85.93825
198.31,-30.155
90.0863,-63.04315
38.8296,106.5852
106,1
170.0662,-47.5331
64.8294,92.5853
-34.2687,155.13435
-20.8217,-201.08915
3.49,-76.745
122.1007,105.44965
95.375,189.8125
-106.4252,127.2126
141.054,243.473
60.015,-42.5075
55.9129,8.04355
109.4,171.3
150.4329,165.28355
-16.6652,134.3326
-69.1,79.55
33.954,167.523
171.3616,300.3192
33.5613,108.21935
126.7009,174.14955
200.9739,-61.48695
102.2515,86.87425
-102.9861,-2.50695
-3.3559,-16.32205
52.5537,-61.27685
65.4652,4.7674
134.1826,-127.0913
32.2829,-117.64145
127.6699,-110.33495
85.7241,-89.36205
130.8506,283.5747
204.6,229.2
192.615,58.1925
209.1373,-127.06865
-41.985,-76.5075
32.56,-155.78
93.25,-53.125
-148.7229,-125.13855
-35.355,-197.3225
85.43,42.785
-31.7765,237.38825
155.725,126.1375
-59.4474,350.7237
58.06,211.47
-16.4,129.7
139.66,-64.83
-81.7616,19.8808
-162.005,-49.4975
82.9735,-136.48675
33.954,-98.977
195.505,158.2475
139.6549,20.17255
101.546,311.727
136.1818,198.9091
97.2382,63.8809
76.6852,-98.3426
-195.9251,-86.53745
-2.7762,98.3881
33.954,45.523
63.925,-179.9625
33.1567,109.42165
-46.405,185.7025
-9.7207,-94.13965
126.7009,-56.35045
106.0306,-143.0153
11.14,12.43
-101.4629,82.23145
133.5961,78.20195
46.7074,-10.3537
-14.3311,115.66555
173.9405,299.02975
43.0626,-3.5313
71.7943,-28.89715
145.1,-33.05
181.6772,-15.8386
142.635,-120.8175
-15.125,145.0625
-43.9672,-0.5164
7.1518,93.4241
-162.77,328.885
43.5352,-119.2676
52.45,248.275
115.6849,-138.34245
89,-32
48.2,-24.1
-13.646,340.823
147.9118,-1.9559
110.25,-93.125
146.307,383.3465
29.9437,-74.97185
-87.8,137.9
151.6994,211.6503
58.06,123.97
44.9411,-223.47055
144.25,-55.625
178.165,177.9175
-85.046,-28.477
-183.1428,-6.9286
4.1496,-38.5748
22.87,110.065
135.24,368.88
102.94,129.53
-21.84,-58.08
157.9962,86.0019
27.5994,48.7003
159.04,20.98
85.0628,-179.5314
-47.51,-5.745
-29.1891,65.09455
-19.3155,-28.34225
15.1282,-20.0641
-67.9457,-182.52715
103.96,-105.98
-33.0226,-198.4887
15.7096,92.6452
-13.0748,194.0374
83.1367,240.43165
54.32,219.34
139.1704,-15.5852
159.55,67.225
15.7096,-60.3548
-67.4,36.7
38.5882,-123.2941
-13.68,-102.66
48.2,290.9
174.0629,116.96855
-87.545,-5.7275
78.7813,107.60935
-76.835,163.4175
88.6226,80.6887
45.5038,27.2481
91.7149,-223.35745
41.4,-142.2
81.52,28.74
54.32,-22.66
-146.1406,-95.9297
87.385,-195.1925
-5.52,258.76
-93.6174,105.3087
-55.415,-159.7925
43.1,-17.05
102.94,101.53
22.054,-46.027
117.9748,-139.4874
71.4985,101.75075
169.75,-45.375
3.49,83.755
127.6699,479.66505
76.76,2.62
116.54,-162.27
-14.8462,46.9231
73.36,184.82
44.8765,101.06175
146.6113,312.69435
52.5537,-161.27685
-187.95,-15.025
100.455,41.7725
-246.1563,-71.42185
3.946,-86.973
33.5651,13.21745
-140.4418,167.2209
71.3,-19.65
-188.8,186.4
76.06,51.97
-22.2,149.6
98.1515,-34.57575
-117.9457,112.47285
-46.255,-69.8725
122.64,266.18
48.35,-61.175
47.6428,-6.3214
158,-149
77.845,14.5775
160.55,-45.275
-34.27,-34.865
97.82,115.09
130.8,262.1
-227.22,-4.89
-181.2027,-176.89865
31.554,-174.277
-193.475,100.2375
72.1007,-40.55035
-79.2843,-97.35785
-131.85,-1.575
5.9129,-111.95645
-31.975,-201.0125
25.3405,-172.67025
-245.954,-83.523
-76.9961,52.49805
-140.7937,-137.60315
69.5201,157.73995
102.954,206.023
100.4329,-99.21645
92.9937,-116.49685
81.3096,191.8452
5,-62
74.207,-110.1035
47.9216,102.0392
141.68,-28.84
35.5762,-234.7881
-242.4265,70.71325
-130.1194,-121.4403
32.625,165.6875
66.2595,-0.62975
89.66,-104.33
75.38,-229.69
75.108,51.446
103.3093,55.84535
110.5173,-30.75865
110.1059,-25.05295
104.4296,-89.2148
-160.7823,-175.60885
167.7206,-264.8603
23.0948,-126.5474
-24.7857,8.39285
25.3405,-72.17025
33.475,-50.2375
158,49.5
90.17,-112.585
104.4296,-142.2148
-12.595,108.7975
-45.8317,-112.58415
69.005,-68.0025
44.4485,-212.22425
89.66,-254.83
-97.8959,81.44795
72.1007,21.44965
10.015,-85.5075
-89.775,-196.1125
84.6416,-157.3208
138.2137,-225.60685
67.254,-142.627
43.7838,-80.8919
-116.8033,-46.09835
-188.375,84.1875
-76.957,-87.5215
-11.0327,50.51635
-62.575,-239.2125
-85.4485,-133.77575
-83.0107,-175.49465
105.2252,74.3874
-111.28,-100.86
23.7782,-29.3891
43.6206,257.1897
-96.405,246.7025
15.88,-126.44
-21.0593,263.52965
82.7852,10.1074
109.1216,-105.0608
126.5194,-239.2597
-10.98,-209.51
72.4016,-40.7008
-161.6,-83.7
92.8696,173.0652
110.995,-110.4975
-42.1801,-93.90995
-11.4118,188.2059
49.625,187.1875
10.015,-15.0075
-92.92,88.46
80.2641,242.36795
71.3,104.85
122.946,-8.973
91.7,53.65
-171.8782,139.4391
74.4518,-185.2259
14.18,-45.59
145.25,173.875
14.8294,-30.9147
120.26,-56.63
50.9918,-86.9959
-4.146,268.073
34.75,28.125
125.2784,-132.6392
7.5738,101.2131
-71.8077,217.90385
-89.1052,-221.4474
-31.21,-144.395
100.3139,7.34305
62.375,3.3125
-149.3362,59.1681
69.1291,77.43545
19.79,-2.395
4.0718,-21.0359
43.93,87.535
120.6017,223.19915
-52.7762,70.3881
-113.49,114.245
-12.7038,96.8519
123.9405,222.02975
-21.707,43.3535
79.1948,124.4026
134.8273,-0.91365
50.0126,140.4937
-160.1482,37.5741
-53.3559,11.17795
10.1493,-95.07465
51.665,56.6675
109.1216,-117.0608
-27.7437,-155.62815
68.3743,-30.68715
35.7241,-3.86205
49.1252,23.4374
181.375,132.8125
121.535,-27.2675
156.2762,-148.1381
-105.245,-17.3775
-23.9,-142.05
64.5,-13.25
-196.8784,-156.0608
-101.93,-220.535
33.475,-32.2375
-83.0226,419.5113
132.075,132.4625
-101.0562,141.0281
39.34,214.83
-71.84,184.92
91.955,-95.9775
-135.8671,-76.06645
-215.83,-70.585
51.8384,-143.4192
-27.7437,-136.12815
128.675,25.6625
63.157,-31.5785
42.9304,192.0348
103.2345,78.38275
34.3148,52.8426
51.8384,-118.4192
-245.8673,-124.06635
-63.8874,39.4437
-1.0061,19.50305
10.015,-218.5075
-37.4626,226.2313
-96.405,171.2025
-45.8317,-135.58415
124.085,-8.5425
24.5891,-112.29455
-44.98,52.99
-154.3,26.6
